epoch,loss,accuracy
1,2.1165122985839844,0.35398230088495575
2,1.9542617797851562,0.5929203539823009
3,1.8109679222106934,0.6548672566371682
4,1.643019437789917,0.6902654867256637
5,1.5699973106384277,0.7433628318584071
6,1.471388816833496,0.7522123893805309
7,1.2988733053207397,0.7699115044247787
8,1.1786699295043945,0.7876106194690266
9,1.0480085611343384,0.8141592920353983
10,0.9250767827033997,0.8230088495575221
11,0.8162248730659485,0.8495575221238938
12,0.6893460154533386,0.8672566371681416
13,0.629483699798584,0.8761061946902655
14,0.4962827265262604,0.8849557522123894
15,0.41604045033454895,0.8849557522123894
16,0.4058237075805664,0.8849557522123894
17,0.3319094777107239,0.911504424778761
18,0.2521568834781647,0.911504424778761
19,0.24367699027061462,0.911504424778761
20,0.15358857810497284,0.911504424778761
21,0.1505872756242752,0.911504424778761
22,0.12993836402893066,0.911504424778761
23,0.14145155251026154,0.9203539823008849
24,0.11040246486663818,0.9203539823008849
25,0.08413402736186981,0.9203539823008849
